Date ,Decade,Province,City,Incident,Killed ,Injured,Government,President
4/30/2012,2010,Punjab,Vehari,Target killing,1,0,Democratic,Asif Zardari
4/30/2012,2010,Sindh,Karachi,Target killing,3,1,Democratic,Asif Zardari
05/01/2012,2010,Sindh,Shahdad Kot,Target killing,1,0,Democratic,Asif Zardari
05/01/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
05/02/2012,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
05/03/2012,2010,KPK,Kohat,Target killing,1,0,Democratic,Asif Zardari
05/04/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
05/04/2012,2010,Punjab,Gujranwala,Target killing,1,0,Democratic,Asif Zardari
05/06/2012,2010,FATA,Parachinar,Target killing,0,3,Democratic,Asif Zardari
05/06/2012,2010,Balochistan,Mastung,Target killing,1,0,Democratic,Asif Zardari
05/07/2012,2010,KPK,Hangu,Target killing,1,0,Democratic,Asif Zardari
05/08/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
05/10/2012,2010,Punjab,Jhang,Target killing,0,2,Democratic,Asif Zardari
5/14/2012,2010,Azad Kashmir,,Target killing,1,5,Democratic,Asif Zardari
5/15/2012,2010,Balochistan,Quetta,Target killing,2,1,Democratic,Asif Zardari
5/15/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
5/16/2012,2010,Balochistan,Mastung,Target killing,1,0,Democratic,Asif Zardari
5/17/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
5/18/2012,2010,Punjab,Lahore,Target killing,1,0,Democratic,Asif Zardari
5/20/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
5/21/2012,2010,Sindh,Shahdad Kot,Attack,0,1,Democratic,Asif Zardari
5/23/2012,2010,FATA,Lower Kurram,Attack,0,4,Democratic,Asif Zardari
5/24/2012,2010,Punjab,Lahore,Target killing,1,0,Democratic,Asif Zardari
5/24/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
5/24/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
5/26/2012,2010,KPK,Kohat,Target killing,0,1,Democratic,Asif Zardari
5/27/2012,2010,Balochistan,Mach,Target killing,1,0,Democratic,Asif Zardari
5/28/2012,2010,FATA,Parachinar,Attack,2,6,Democratic,Asif Zardari
5/29/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
5/30/2012,2010,Sindh,Karachi,Target killing,2,1,Democratic,Asif Zardari
5/30/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
5/31/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
06/01/2012,2010,KPK,Hangu,Attack,0,2,Democratic,Asif Zardari
06/03/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
06/09/2012,2010,KPK,Hangu,Target killing,2,0,Democratic,Asif Zardari
06/12/2012,2010,Sindh,Tando Jam,Target killing,0,1,Democratic,Asif Zardari
6/14/2012,2010,Sindh,Dadu,Target killing,1,0,Democratic,Asif Zardari
6/14/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
6/15/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
6/17/2012,2010,Punjab,Chakwal,Attack,0,2,Democratic,Asif Zardari
6/18/2012,2010,Balochistan,Quetta,Attack,5,70,Democratic,Asif Zardari
6/18/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
6/18/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
6/18/2012,2010,Sindh,Karachi,Attack,0,6,Democratic,Asif Zardari
6/21/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
6/23/2012,2010,Punjab,Lahore,Target killing,1,0,Democratic,Asif Zardari
6/28/2012,2010,Balochistan,Hazaganji,Attack,14,30,Democratic,Asif Zardari
6/28/2012,2010,KPK,D.I. Khan,Target killing,0,1,Democratic,Asif Zardari
6/30/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
07/01/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,3,Democratic,Asif Zardari
07/01/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
07/02/2012,2010,Sindh,Nawabshah,Target killing,1,0,Democratic,Asif Zardari
07/04/2012,2010,Balochistan,Kuchlak,Target killing,1,0,Democratic,Asif Zardari
07/07/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
07/07/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
07/08/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
07/10/2012,2010,Balochistan,Mastung,Target killing,1,0,Democratic,Asif Zardari
07/10/2012,2010,Punjab,Sargodha,Target killing,2,0,Democratic,Asif Zardari
07/11/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
07/12/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
7/14/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
7/16/2012,2010,Sindh,Karachi,Target killing,0,3,Democratic,Asif Zardari
7/17/2012,2010,Balochistan,Mastung,Target killing,2,0,Democratic,Asif Zardari
7/18/2012,2010,FATA,Orakzai Agency ,Attack,14,0,Democratic,Asif Zardari
7/18/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
7/24/2012,2010,Balochistan,Quetta,Target killing,0,2,Democratic,Asif Zardari
7/24/2012,2010,KPK,Peshawar,Attack,1,0,Democratic,Asif Zardari
7/26/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
7/28/2012,2010,Punjab,Jhang,Target killing,0,2,Democratic,Asif Zardari
7/28/2012,2010,Balochistan,Jafarabad,Target killing,1,0,Democratic,Asif Zardari
7/28/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
7/29/2012,2010,Balochistan,Quetta,Target killing,0,1,Democratic,Asif Zardari
7/30/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,0,1,Democratic,Asif Zardari
7/30/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
08/02/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
08/05/2012,2010,Gilgit-Baltistan,Gilgit,Attack,1,8,Democratic,Asif Zardari
8/14/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
8/16/2012,2010,KPK,Naranÿ,Attack,25,0,Democratic,Asif Zardari
8/16/2012,2010,Balochistan,Quetta,Target killing,3,0,Democratic,Asif Zardari
8/17/2012,2010,Sindh,Karachi,Attack,2,0,Democratic,Asif Zardari
8/17/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
8/17/2012,2010,Gilgit-Baltistan,Skardu,Attack,0,8,Democratic,Asif Zardari
8/25/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
8/26/2012,2010,Sindh,Hyderabad,Target killing,0,1,Democratic,Asif Zardari
8/27/2012,2010,Balochistan,Quetta,Attack,5,0,Democratic,Asif Zardari
8/30/2012,2010,Balochistan,Quetta,Target killing,3,0,Democratic,Asif Zardari
09/01/2012,2010,Balochistan,Quetta,Attack,9,0,Democratic,Asif Zardari
09/02/2012,2010,Punjab,Lahore,Attack,1,1,Democratic,Asif Zardari
09/02/2012,2010,Balochistan,Quetta,Target killing,0,1,Democratic,Asif Zardari
09/04/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
09/05/2012,2010,Sindh,Karachi,Target killing,2,1,Democratic,Asif Zardari
09/05/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
09/05/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
09/10/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
09/10/2012,2010,FATA,Parachinar,Attack,15,60,Democratic,Asif Zardari
9/13/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
9/14/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
9/17/2012,2010,Sindh,Karachi,Target killing,1,8,Democratic,Asif Zardari
9/18/2012,2010,Balochistan,Mastung,Target killing,6,15,Democratic,Asif Zardari
9/18/2012,2010,Sindh,Karachi,Attack,7,15,Democratic,Asif Zardari
9/22/2012,2010,Gilgit-Baltistan,Gilgit,Attack,0,1,Democratic,Asif Zardari
9/22/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
9/23/2012,2010,Punjab,Nankana Sahib,Target killing,1,0,Democratic,Asif Zardari
9/24/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
9/25/2012,2010,Sindh,Karachi,Target killing,3,1,Democratic,Asif Zardari
9/26/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
9/26/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
9/26/2012,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
9/26/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
9/26/2012,2010,Punjab,Multan,Target killing,1,0,Democratic,Asif Zardari
9/27/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
9/27/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
9/30/2012,2010,Balochistan,Quetta,Target killing,0,2,Democratic,Asif Zardari
9/30/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
10/04/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
10/04/2012,2010,Balochistan,Kuchlak,Target killing,1,1,Democratic,Asif Zardari
10/04/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
10/07/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
10/08/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/09/2012,2010,FATA,Kurram Agency,Target killing,0,3,Democratic,Asif Zardari
10/09/2012,2010,Sindh,Karachi,Attack,1,0,Democratic,Asif Zardari
10/11/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/14/2012,2010,Balochistan,Quetta,Target killing,1,2,Democratic,Asif Zardari
10/16/2012,2010,Balochistan,Quetta,Target killing,4,0,Democratic,Asif Zardari
10/16/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/16/2012,2010,FATA,Kurram Agency,Target killing,1,0,Democratic,Asif Zardari
10/16/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/17/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/17/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
10/18/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/19/2012,2010,Punjab,Lahore,Target killing,1,0,Democratic,Asif Zardari
10/19/2012,2010,FATA,Orakzai Agency ,Target killing,3,10,Democratic,Asif Zardari
10/20/2012,2010,KPK,Noshehra,Target killing,1,0,Democratic,Asif Zardari
10/22/2012,2010,Sindh,Karachi,Target killing,2,3,Democratic,Asif Zardari
10/22/2012,2010,Sindh,Karachi,Attack,1,1,Democratic,Asif Zardari
10/24/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
10/25/2012,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
10/28/2012,2010,KPK,D.I. Khan,Target killing,2,2,Democratic,Asif Zardari
10/29/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/02/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/03/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/04/2012,2010,FATA,Kurram Agency,Target killing,2,1,Democratic,Asif Zardari
11/04/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
11/06/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
11/06/2012,2010,Balochistan,Quetta,Target killing,3,2,Democratic,Asif Zardari
11/06/2012,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
11/07/2012,2010,KPK,Peshawar,Attack,1,0,Democratic,Asif Zardari
11/07/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/07/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
11/08/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
11/08/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
11/09/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
11/09/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/10/2012,2010,Balochistan,Quetta,Target killing,3,2,Democratic,Asif Zardari
11/11/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/11/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/12/2012,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
11/12/2012,2010,Punjab,Islamabad,Target killing,0,4,Democratic,Asif Zardari
11/12/2012,2010,Balochistan,Machch,Target killing,4,1,Democratic,Asif Zardari
11/12/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
11/13/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/13/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/17/2012,2010,Balochistan,Quetta,Target killing,0,1,Democratic,Asif Zardari
11/18/2012,2010,Balochistan,Khuzdar,Target killing,1,0,Democratic,Asif Zardari
11/18/2012,2010,Sindh,Karachi,Target killing,2,8,Democratic,Asif Zardari
11/21/2012,2010,Sindh,Karachi,Attack,3,15,Democratic,Asif Zardari
11/21/2012,2010,Punjab,Rawalpindi,Attack,24,70,Democratic,Asif Zardari
11/22/2012,2010,Punjab,Gujranwala,Target killing,0,1,Democratic,Asif Zardari
11/24/2012,2010,Punjab,Sargodha,Attack,0,30,Democratic,Asif Zardari
11/24/2012,2010,KPK,D.I. Khan,Target killing,7,18,Democratic,Asif Zardari
11/24/2012,2010,KPK,Bannun,Attack,10,20,Democratic,Asif Zardari
11/25/2012,2010,Sindh,Karachi,Attack,10,20,Democratic,Asif Zardari
11/25/2012,2010,Sindh,Khairpur,Attack,2,3,Democratic,Asif Zardari
11/25/2012,2010,Sindh,Sangarh,Attack,0,6,Democratic,Asif Zardari
11/25/2012,2010,KPK,D.I. Khan,Attack,0,6,Democratic,Asif Zardari
11/26/2012,2010,Sindh,Karachi,Attack,7,135,Democratic,Asif Zardari
11/27/2012,2010,Punjab,Rahimyar Khan,Target killing,1,0,Democratic,Asif Zardari
11/27/2012,2010,Sindh,Noshero Feroze,Target killing,0,4,Democratic,Asif Zardari
11/28/2012,2010,Balochistan,Quetta,Target killing,0,3,Democratic,Asif Zardari
11/28/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
11/29/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
11/29/2012,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
11/30/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
11/30/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
11/30/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
12/01/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/03/2012,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
12/03/2012,2010,Sindh,Larkana,Target killing,2,0,Democratic,Asif Zardari
12/04/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
12/05/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/05/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/06/2012,2010,Punjab,Rawalpindi,Target killing,1,0,Democratic,Asif Zardari
12/08/2012,2010,Punjab,Rawalpindi,Target killing,1,0,Democratic,Asif Zardari
12/10/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/11/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/12/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/13/2012,2010,Sindh,Larkana,Target killing,1,0,Democratic,Asif Zardari
12/13/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
12/13/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
12/13/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/14/2012,2010,Balochistan,Zhob,Target killing,1,0,Democratic,Asif Zardari
12/15/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,0,0,Democratic,Asif Zardari
12/15/2012,2010,Sindh,Nawabshah,Target killing,1,0,Democratic,Asif Zardari
12/16/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/17/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
12/17/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
12/17/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/17/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
12/18/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,3,Democratic,Asif Zardari
12/20/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/20/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/20/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
12/21/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/22/2012,2010,Punjab,Faisalabad,Target killing,2,0,Democratic,Asif Zardari
12/23/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/23/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
12/24/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/25/2012,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
12/26/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
12/29/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
12/30/2012,2010,Balochistan,Mastung,Target killing,2,0,Democratic,Asif Zardari
12/30/2012,2010,KPK,Peshawar,Attack,40,25,Democratic,Asif Zardari
12/30/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/31/2012,2010,Punjab,Chiniot,Target killing,1,4,Democratic,Asif Zardari
01/05/2013,2010,Punjab,Chiniot,Target killing,1,0,Democratic,Asif Zardari
01/07/2013,2010,Balochistan,Quetta,Target killing,1,3,Democratic,Asif Zardari
01/07/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/07/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/08/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/09/2013,2010,Balochistan,Khuzdar,Target killing,1,0,Democratic,Asif Zardari
01/09/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
01/09/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/10/2013,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
1/15/2013,2010,Balochistan,Quetta,Attack,91,190,Democratic,Asif Zardari
1/15/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/15/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/16/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/16/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/17/2013,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
1/18/2013,2010,Balochistan,Khuzdar,Target killing,1,0,Democratic,Asif Zardari
1/19/2013,2010,KPK,Peshawar,Target killing,0,1,Democratic,Asif Zardari
1/22/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
1/22/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/23/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/25/2013,2010,Sindh,Khairpur,Target killing,0,4,Democratic,Asif Zardari
1/26/2013,2010,KPK,Peshawar,Target killing,0,1,Democratic,Asif Zardari
1/26/2013,2010,Sindh,Hyderabad,Target killing,0,0,Democratic,Asif Zardari
1/26/2013,2010,Punjab,Muzaffargarh,Target killing,0,1,Democratic,Asif Zardari
1/27/2013,2010,FATA,Parachinar,Target killing,1,0,Democratic,Asif Zardari
1/29/2013,2010,KPK,Abbottabad,Target killing,0,2,Democratic,Asif Zardari
1/30/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/30/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/31/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/01/2013,2010,KPK,Hangu,Target killing,1,0,Democratic,Asif Zardari
02/01/2013,2010,Sindh,Karachi,Attack,28,40,Democratic,Asif Zardari
02/01/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/04/2013,2010,KPK,Hangu,Target killing,1,0,Democratic,Asif Zardari
02/05/2013,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
02/06/2013,2010,Sindh,Karachi,Target killing,1,2,Democratic,Asif Zardari
02/06/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/07/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/07/2013,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
02/08/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/08/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
02/09/2013,2010,Sindh,Noshero Feroze,Target killing,0,0,Democratic,Asif Zardari
02/09/2013,2010,Sindh,Karachi,Attack,1,0,Democratic,Asif Zardari
02/09/2013,2010,KPK,Charsadda,Target killing,1,0,Democratic,Asif Zardari
02/11/2013,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
02/11/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/12/2013,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
02/12/2013,2010,Punjab,Lahore,Target killing,1,0,Democratic,Asif Zardari
02/12/2013,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
2/13/2013,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
2/14/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/14/2013,2010,Sindh,Tando Adam,Target killing,1,0,Democratic,Asif Zardari
2/15/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/15/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/15/2013,2010,Punjab,Rahimyar Khan,Attack,0,6,Democratic,Asif Zardari
2/16/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/16/2013,2010,Balochistan,Quetta,Attack,110,200,Democratic,Asif Zardari
2/17/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/18/2013,2010,Punjab,Lahore,Target killing,2,0,Democratic,Asif Zardari
2/19/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/19/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/22/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/25/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/25/2013,2010,Sindh,Shikarpur,Target killing,4,0,Democratic,Asif Zardari
2/27/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/01/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
03/01/2013,2010,Balochistan,Quetta ,Target killing,1,0,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/03/2013,2010,Sindh,Karachi,Attack,51,55,Democratic,Asif Zardari
03/03/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/03/2013,2010,Balochistan,Quetta ,Target killing,1,0,Democratic,Asif Zardari
03/04/2013,2010,Sindh,Hyderabad,Target killing,0,1,Democratic,Asif Zardari
03/04/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/04/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/04/2013,2010,Sindh,Karachi,Attack,0,17,Democratic,Asif Zardari
03/06/2013,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
03/07/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/11/2013,2010,KPK,Hangu,Target killing,1,0,Democratic,Asif Zardari
03/12/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/13/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/14/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/18/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
3/18/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/18/2013,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
3/19/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/20/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/20/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/23/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/25/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/25/2013,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
3/27/2013,2010,KPK,Peshawar,Target killing,1,1,Democratic,Asif Zardari
3/29/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/02/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/02/2013,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
04/03/2013,2010,Punjab,Sialkot,Target killing,1,0,Democratic,Asif Zardari
04/06/2013,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/06/2013,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
04/07/2013,2010,Punjab,D.G. Khan,Target killing,1,0,Democratic,Asif Zardari
